Cap_do,Cap_up
"0,0343","1,0692"
"0,1041","0,5475"
"0,1365","0,2034"
"0,1415","0,0452"
"0,233","0,113"
"0,0855","0,0226"
"0,11","0,2034"
"0,1422","0,113"
"0,1644","0,0678"
"0,0663","0,0678"
"0,1792","0,2034"
"0,096","0,1582"
"0,0828","1,6551"
"0,6584","1,2112"
"0,5796","0,1423"
"0,1288","0,1464"
"0,4566","0,4311"
"0,3801","1,2632"
"0,0772","0,87"
"0,2685","0,1785"
"0,1144","0,963"
"0,111","1,4664"
"0,1401","0,1707"
"0,2108","1,602"
"0,1686","1,3475"
"0,2664","1,038"
"0,21","0,113"
"0,2583","0,0678"
"0,147","0,226"
"0,4445","0,0678"
"0,1464","0,1582"
"0,149","0,1808"
"0,252","0,0678"
"0,243","0,1356"
"0,1215","0,2034"
"0,0221","0,0678"
"0,0594","1,2089"
"0,4878","0,306"
"0,4218","1,0472"
"0,6471","1,1349"
"0,5992","0,1354"
"0,0547","0,3954"
"0,1535","1,2944"
"0,2104","1,053"
"0,3224","1,0062"
"0,0584","0,8605"
"0,096","0,3598"
"0,1917","1,799"
"0,0277","1,4841"
"0,2136","0,1588"
"0,1026","0,0226"
"0,1813","0,0226"
"0,0383","0,0226"
"0,202","0,226"
"0,2208","0,1808"
"0,1638","0,1582"
"0,0916","0,1808"
"0,1596","0,113"
"0,0576","0,0904"
"0,1448","0,0904"
"0,352","0,404"
"0,5264","0,7272"
"0,2344","0,8532"
"0,0598","0,2134"
"0,2262","0,2997"
"0,0996","0,184"
"0,111","0,3512"
"0,0265","0,7665"
"0,0389","0,4548"
"0,099","0,1116"
"0,0681","0,558"
"0,1225","0,2126"
"0,3222","0,2886"
"0,067","0,5772"
"0,0281","0,1356"
"0,0771","0,113"
"0,1992","0,0452"
"0,313","0,0452"
"0,304","0,226"
"0,1729","0,1356"
"0,0516","0,0452"
"0,0235","0,1582"
"0,124","0,1808"
"0,0758","0,0678"
"0,384","0,487"
"0,0777","0,5614"
"0,209","0,7872"
"0,4928","0,1666"
"0,4536","0,6167"
"0,0702","0,2943"
"0,3249","0,9459"
"0,157","0,9666"
"0,1176","0,4456"
"0,0245","0,2262"
"0,2007","0,3513"
"0,261","0,525"
"0,1293","0,7049"
"0,0343","0,6965"
"0,0945","0,1356"
"0,2136","0,0452"
"0,296","0,0452"
"0,236","0,0904"
"0,0729","0,0226"
"0,1175","0,1582"
"0,2286","0,0904"
"0,1036","0,0904"
"0,0723","0,1582"
"0,3906","0,0226"
"0,5313","0,1802"
"0,3311","0,861"
"0,4354","0,1908"
"0,196","0,0884"
"0,0934","0,1966"
"0,1428","0,3165"
"0,216","0,1212"
"0,078","0,9776"
"0,2576","0,1146"
"0,0819","1,189"
"0,1124","0,624"
"0,0213","1,1232"
"0,0873","0,3198"
"0,4168","0,1978"
"0,1065","0,0678"
"0,248","0,0904"
"0,1614","0,1356"
"0,1938","0,1808"
"0,207","0,226"
"0,234","0,1582"
"0,122","0,1808"
"0,0693","0,1356"
"0,1872","0,113"
"0,0884","0,0452"
"0,1884","0,9568"
"0,0466","0,7864"
"0,2103","0,0901"
"0,1392","0,4926"
"0,3682","0,4875"
"0,467","0,0925"
"0,1664","0,184"
"0,2365","0,3234"
"0,0266","0,1174"
"0,1455","0,3582"
"0,1505","0,8358"
"0,2079","1,1133"
"0,2086","0,4732"
"0,2728","0,551"
"0,201","0,2034"
"0,1332","0,0904"
"0,0669","0,0904"
"0,444","0,0226"
"0,0394","0,0904"
"0,1056","0,0904"
"0,278","0,0452"
"0,1715","0,113"
"0,1368","0,0678"
"0,0826","0,0452"
"0,22","0,5151"
"0,3255","0,1533"
"0,4151","0,9912"
"0,5362","0,3813"
"0,4028","0,486"
"0,092","0,916"
"0,0978","0,316"
"0,182","0,4953"
"0,1842","1,0266"
"0,158","1,2124"
"0,28","0,9942"
"0,0855","0,519"
"0,0678","1,4432"
"0,248","0,73"
"0,244","0,226"
"0,058","0,226"
"0,2115","0,0904"
"0,1075","0,1808"
"0,1285","0,113"
"0,0256","0,0678"
"0,258","0,0226"
"0,0669","0,226"
"0,1673","0,1356"
"0,279","0,1356"
"0,026","0,7791"
"0,3","0,5766"
"0,0695","0,6112"
"0,3735","0,084"
"0,1412","0,816"
"0,215","0,5472"
"0,0571","0,3452"
"0,1815","0,973"
"0,261","0,2176"
"0,2303","0,9387"
"0,0572","0,3192"
"0,142","0,3099"
"0,152","0,9297"
"0,0789","0,3159"
"0,0566","0,226"
"0,0349","0,0452"
"0,0263","0,1582"
"0,2324","0,0904"
"0,1668","0,1808"
"0,213","0,0904"
"0,0576","0,0452"
"0,0233","0,113"
"0,1245","0,0904"
"0,0492","0,1356"
"0,032","1,1557"
"0,416","0,518"
"0,1452","0,6088"
"0,0702","0,915"
"0,336","0,792"
"0,6399","0,992"
"0,312","0,6068"
"0,136","0,1539"
"0,202","0,1582"
"0,2736","0,334"
"0,1578","0,3438"
"0,0876","1,3576"
"0,1812","0,4974"
"0,3536","0,9282"
"0,1648","0,0226"
"0,324","0,226"
"0,1944","0,0904"
"0,0762","0,0904"
"0,0936","0,0226"
"0,233","0,0452"
"0,0309","0,0678"
"0,1848","0,113"
"0,2052","0,1356"
"0,1587","0,1808"
"0,1563","0,3365"
"0,1068","0,4704"
"0,2292","0,6939"
"0,0741","0,6768"
"0,318","0,0922"
"0,306","0,6651"
"0,3948","0,0767"
"0,2331","0,6643"
"0,1976","0,0986"
"0,33","0,5532"
"0,0795","0,2829"
"0,177","0,965"
"0,0283","0,924"
"0,1216","0,944"
"0,1818","0,0678"
"0,0681","0,226"
"0,477","0,1582"
"0,2541","0,1356"
"0,2871","0,226"
"0,286","0,0904"
"0,0908","0,1808"
"0,106","0,0678"
"0,192","0,2034"
"0,0422","0,113"
"0,3018","0,442"
"0,0459","0,4532"
"0,0421","0,3402"
"0,3654","0,2068"
"0,2408","0,78"
"0,3972","0,627"
"0,0921","1,0746"
"0,1784","0,1332"
"0,1855","0,4047"
"0,2115","1,349"
"0,1235","0,6745"
"0,062","0,3777"
"0,2896","0,1262"
"0,2224","0,634"
"0,1305","0,226"
"0,2058","0,0678"
"0,3051","0,2034"
"0,0466","0,0904"
"0,273","0,1582"
"0,088","0,1582"
"0,1722","0,226"
"0,0542","0,226"
"0,2536","0,2034"
"0,2562","0,1582"
"0,6704","0,3366"
"0,0616","0,432"
"0,582","0,8701"
"0,1118","0,6345"
"0,424","0,548"
"0,1424","1,35"
"0,0433","0,8328"
"0,1728","0,8328"
"0,1305","0,9258"
"0,1032","0,6376"
"0,1644","0,1573"
"0,139","0,3186"
"0,1872","0,9114"
"0,182","1,0472"
"0,169","0,2034"
"0,2223","0,0452"
"0,1088","0,226"
"0,2385","0,226"
"0,2115","0,0226"
"0,254","0,0678"
"0,251","0,0678"
"0,1105","0,0452"
"0,6286","0,2034"
"0,512","0,0678"
"0,266","0,1252"
"0,4068","1,195"
"0,098","0,482"
"0,553","1,171"
"0,2228","0,8386"
"0,0488","0,9632"
"0,261","0,5912"
"0,0768","1,499"
"0,0786","0,8994"
"0,0684","0,2998"
"0,1998","0,759"
"0,2219","1,1608"
"0,3213","0,7055"
"0,0568","0,1458"
"0,2192","0,0226"
"0,155","0,1808"
"0,264","0,1808"
"0,273","0,0678"
"0,2552","0,1356"
"0,1944","0,1808"
"0,0456","0,226"
"0,2177","0,0678"
"0,35","0,113"
"0,1856","0,113"
"0,2645","1,2069"
"0,3752","0,9693"
"0,1388","0,8076"
"0,113","0,6336"
"0,1608","0,1441"
"0,2815","0,9786"
"0,149","0,5932"
"0,1752","1,604"
"0,1332","0,1604"
"0,2034","1,604"
"0,1084","0,4683"
"0,2016","1,349"
"0,784","0,3621"
"0,1364","0,966"
"0,1848","0,0678"
"0,0992","0,0226"
"0,112","0,1582"
"0,0909","0,0904"
"0,2238","0,1582"
"0,2488","0,1582"
"0,044","0,0678"
"0,229","0,1808"
"0,0452","0,226"
"0,0221","0,113"
"0,1155","0,3024"
"0,2139","1,0179"
"0,0479","0,207"
"0,3668","0,792"
"0,5128","1,0278"
"0,0593","0,726"
"0,263","1,0404"
"0,2394","0,3672"
"0,1584","0,8262"
"0,3672","1,391"
"0,115","0,756"
"0,1816","0,9072"
"0,232","0,3024"
"0,0582","0,9821"
"0,4216","0,1808"
"0,2312","0,0904"
"0,0804","0,0904"
"0,1566","0,0678"
"0,0257","0,1582"
"0,0474","0,0904"
"0,0795","0,0904"
"0,0506","0,226"
"0,226","0,1808"
"0,385","0,2034"
"0,0952","1,22"
"0,198","1,0764"
"0,3492","0,563"
"0,0868","0,4372"
"0,262","0,8676"
"0,364","0,4746"
"0,1779","0,6216"
"0,297","1,0908"
"0,1932","0,7068"
"0,3087","0,2356"
"0,144","0,6485"
"0,253","0,5108"
"0,1953","0,7488"
"0,2051","1,0575"
"0,2632","0,0452"
"0,2744","0,2034"
"0,1115","0,226"
"0,175","0,0678"
"0,2076","0,1808"
"0,1662","0,1808"
"0,144","0,0452"
"0,2205","0,0226"
"0,2718","0,1808"
"0,0688","0,0678"
"0,1254","0,5335"
"0,0326","0,609"
"0,1758","0,8477"
"0,1448","0,4536"
"0,1132","0,7584"
"0,117","0,8955"
"0,486","0,556"
"0,201","0,3654"
"0,1883","1,1664"
"0,1064","0,8932"
"0,3006","0,5264"
"0,311","0,5264"
"0,0712","0,1293"
"0,1119","0,125"
"0,1296","0,0678"
"0,3276","0,226"
"0,222","0,0678"
"0,2646","0,0678"
"0,268","0,0904"
"0,2166","0,2034"
"0,1542","0,2034"
"0,2061","0,0904"
"0,2107","0,1808"
"0,3983","0,113"
"0,5796","0,8586"
"0,529","0,3024"
"0,5752","0,192"
"0,2262","0,1015"
"0,0642","0,128"
"0,2268","1,1475"
"0,3451","0,8918"
"0,292","0,61"
"0,353","0,5192"
"0,0468","0,8106"
"0,21","0,2744"
"0,1855","1,1943"
"0,065","1,303"
"0,1398","0,9436"
"0,138","0,1356"
"0,0322","0,1582"
"0,1506","0,0452"
"0,0944","0,113"
"0,0247","0,1582"
"0,222","0,1808"
"0,0828","0,0452"
"0,207","0,1808"
"0,208","0,226"
"0,0732","0,1808"
"0,1288","0,145"
"0,222","0,959"
"0,4167","1,1583"
"0,2","1,1256"
"0,1176","0,148"
"0,0565","1,1781"
"0,2898","0,1328"
"0,523","0,5476"
"0,0302","0,9541"
"0,251","0,304"
"0,284","1,3257"
"0,27","1,2735"
"0,2012","0,9856"
"0,05","1,233"
"0,2395","0,0904"
"0,2704","0,226"
"0,0682","0,0678"
"0,3424","0,226"
"0,2082","0,2034"
"0,1398","0,1808"
"0,046","0,113"
"0,2928","0,1356"
"0,0304","0,0226"
"0,393","0,2034"
"0,4445","0,1309"
"0,0853","1,0818"
"0,1455","0,3591"
"0,753","1,0125"
"0,0415","0,291"
"0,0734","0,7805"
"0,196","1,2648"
"0,1778","1,1585"
"0,1652","0,331"
"0,2277","0,3264"
"0,0298","0,9792"
"0,2457","0,4743"
"0,2608","0,4743"
"0,0285","1,422"
"0,1407","0,0678"
"0,2478","0,1356"
"0,3735","0,1808"
"0,325","0,0226"
"0,1664","0,1582"
"0,1628","0,0226"
"0,2484","0,0904"
"0,1806","0,1356"
"0,2016","0,1356"
"0,303","0,1808"
"0,062","0,8384"
"0,1608","0,5545"
"0,3006","0,2508"
"0,1016","0,9051"
"0,2574","1,08"
"0,224","0,1118"
"0,1166","1,0359"
"0,332","0,1108"
"0,2368","0,2466"
"0,0933","0,657"
"0,0642","0,6775"
"0,1578","0,9688"
"0,122","1,364"
"0,311","1,0744"
"0,0252","0,0678"
"0,1292","0,0452"
"0,1572","0,226"
"0,647","0,2034"
"0,0648","0,113"
"0,1008","0,0226"
"0,232","0,0452"
"0,2124","0,113"
"0,118","0,0452"
"0,3486","0,0452"
"0,2637","1,961"
"0,69","0,1615"
"0,6624","1,592"
"0,246","0,3316"
"0,4417","0,8525"
"0,17","0,1791"
"0,1545","0,3698"
"0,051","1,2204"
"0,2088","0,4026"
"0,1065","0,5811"
"0,0479","0,7272"
"0,2184","1,7703"
"0,1264","0,955"
"0,1497","1,0746"
"0,255","0,113"
"0,304","0,1356"
"0,286","0,1808"
"0,2814","0,2034"
"0,6867","0,0678"
"0,1765","0,1582"
"0,205","0,1356"
"0,0756","0,0226"
"0,18","0,0904"
"0,207","0,1808"
"0,1595","1,384"
"0,3552","0,326"
"0,1545","0,8015"
"0,378","1,476"
"0,2752","0,734"
"0,1496","1,1144"
"0,362","0,6952"
"0,2205","1,5822"
"0,1232","0,698"
"0,2112","1,825"
"0,282","1,4768"
"0,203","0,173"
"0,24","0,1846"
"0,3717","1,0092"
"0,3416","0,0678"
"0,4784","0,1356"
"0,1925","0,1808"
"0,2499","0,2034"
"0,0794","0,0226"
"0,44","0,0678"
"0,256","0,0678"
"0,1036","0,0226"
"0,1535","0,0452"
"0,3784","0,113"
"0,0932","0,4172"
"0,455","0,994"
"0,4123","0,2532"
"0,417","1,3032"
"0,1536","0,8712"
"0,0744","1,0542"
"0,1295","1,558"
"0,0714","1,1277"
"0,1224","1,4463"
"0,0244","1,607"
"0,1056","0,4821"
"0,1869","0,793"
"0,3156","0,4086"
"0,1305","1,3311"
"0,0558","0,1582"
"0,0651","0,0678"
"0,035","0,226"
"0,1032","0,1582"
"0,024","0,1582"
"0,0864","0,1356"
"0,0384","0,226"
"0,2352","0,2034"
"0,2428","0,113"
"0,0668","0,0904"
"0,5715","1,316"
"0,2184","0,1373"
"0,339","0,2862"
"0,2317","0,1618"
"0,0867","0,6192"
"0,1713","1,5"
"0,2856","1,431"
"0,1012","1,2952"
"0,1554","1,732"
"0,0702","0,6928"
"0,0241","0,6836"
"0,2312","1,5147"
"0,274","0,819"
"0,1059","0,4863"
"0,336","0,1808"
"0,276","0,0678"
"0,0466","0,1808"
"0,2043","0,1808"
"0,1794","0,2034"
"0,1002","0,1356"
"0,0692","0,1808"
"0,1047","0,2034"
"0,1412","0,0452"
"0,0996","0,226"
"0,0454","0,2888"
"0,4419","0,3873"
"0,3065","0,7734"
"0,0868","0,6365"
"0,3423","0,9611"
"0,156","1,0073"
"0,174","1,43"
"0,1722","0,4623"
"0,307","0,1521"
"0,1782","0,4563"
"0,295","0,7485"
"0,1827","0,2968"
"0,151","0,1537"
"0,2355","1,35"
"0,4464","0,2034"
"0,282","0,226"
"0,0468","0,0904"
"0,0879","0,0904"
"0,3861","0,113"
"0,0321","0,0904"
"0,1995","0,1582"
"0,239","0,0678"
"0,0765","0,1808"
"0,0826","0,1582"
"0,0878","1,0212"
"0,4692","0,55"
"0,3654","0,251"
"0,3448","1,336"
"0,1012","1,0674"
"0,189","1,81"
"0,465","1,1214"
"0,088","1,803"
"0,313","1,3272"
"0,233","0,6015"
"0,0217","2,03"
"0,161","1,164"
"0,0571","1,2474"
"0,429","0,36"
"0,0356","0,1582"
"0,3645","0,1808"
"0,4671","0,1356"
"0,161","0,1582"
"0,235","0,0678"
"0,1","0,0452"
"0,1596","0,1808"
"0,123","0,1356"
"0,1855","0,0226"
"0,1892","0,226"
"0,605","0,9384"
"0,1773","1,054"
"0,271","0,1156"
"0,1452","0,2636"
"0,1604","0,1309"
"0,25","0,855"
"0,0532","1,0115"
"0,2072","0,2784"
"0,0293","1,1432"
"0,2187","1,3347"
"0,212","0,1483"
"0,115","0,1483"
"0,288","0,8184"
"0,4172","0,6684"
"0,472","0,113"
"0,156","0,0226"
"0,1545","0,1582"
"0,4158","0,0226"
"0,2736","0,0226"
"0,1375","0,113"
"0,291","0,0678"
"0,2004","0,0904"
"0,0828","0,2034"
"0,1582","0,0678"
"0,0972","0,1893"
"0,0666","0,5487"
"0,2856","0,3596"
"0,2445","0,8585"
"0,68","1,116"
"0,3528","0,2594"
"0,441","1,697"
"0,2979","0,7468"
"0,1818","1,854"
"0,2934","0,5562"
"0,28","0,1876"
"0,173","1,3912"
"0,162","1,2432"
"0,076","1,1888"
"0,2898","0,0226"
"0,3186","0,0452"
"0,2448","0,0452"
"0,177","0,0452"
"0,15","0,0226"
"0,275","0,113"
"0,2664","0,0678"
"0,2205","0,0678"
"0,0314","0,1582"
"0,1904","0,0452"
"0,1338","1,1998"
"0,0339","0,9114"
"0,7644","0,5615"
"0,3505","0,3576"
"0,5499","0,8708"
"0,3805","0,3819"
"0,2944","0,444"
"0,1204","1,4679"
"0,2538","0,8255"
"0,16","1,4562"
"0,0603","1,714"
"0,0282","0,3352"
"0,2072","1,1375"
"0,0346","0,3122"
"0,1736","0,113"
"0,0302","0,0452"
"0,0522","0,0452"
"0,098","0,0904"
"0,0868","0,0904"
"0,0225","0,2034"
"0,1912","0,0452"
"0,049","0,0452"
"0,0346","0,0678"
"0,1884","0,1582"
"0,0361","0,1049"
"0,182","0,7104"
"0,5362","0,5131"
"0,277","0,2868"
"0,1266","0,2532"
"0,1341","0,282"
"0,0415","0,8088"
"0,2192","0,6798"
"0,216","1,0197"
"0,2261","0,2218"
"0,112","0,9104"
"0,148","0,6372"
"0,0984","0,9558"
"0,0349","0,6402"
"0,1755","0,1582"
"0,2541","0,2034"
"0,1105","0,1356"
"0,136","0,2034"
"0,142","0,113"
"0,1799","0,0904"
"0,0892","0,0226"
"0,1421","0,226"
"0,0632","0,0226"
"0,5976","0,0452"
"0,1888","1,541"
"0,0323","0,6352"
"0,5616","1,0605"
"0,4923","1,583"
"0,064","0,9972"
"0,1296","1,537"
"0,4368","0,286"
"0,4344","0,3118"
"0,385","1,422"
"0,1944","0,706"
"0,21","1,784"
"0,21","0,164"
"0,273","0,6736"
"0,1962","0,4968"
"0,2975","0,2034"
"0,4878","0,0678"
"0,0333","0,1582"
"0,2248","0,1808"
"0,1854","0,0678"
"0,0825","0,1356"
"0,235","0,0678"
"0,1416","0,1808"
"0,2856","0,0452"
"0,463","0,226"
"0,278","0,2"
"0,6084","0,4525"
"0,4347","0,5454"
"0,14","0,1"
"0,608","0,8217"
"0,3174","0,7805"
"0,2502","0,599"
"0,1704","0,1304"
"0,0232","1,0432"
"0,229","0,269"
"0,244","1,364"
"0,2079","0,9548"
"0,1566","0,2646"
"0,1749","0,2282"
"0,2286","0,0904"
"0,234","0,0678"
"0,1044","0,113"
"0,1863","0,1808"
"0,232","0,1808"
"0,0699","0,0452"
"0,236","0,1808"
"0,1435","0,1356"
"0,1008","0,1356"
"0,2044","0,0678"
"0,39","0,3955"
"0,0402","0,539"
"0,1002","0,6062"
"0,1044","0,0847"
"0,2068","0,2996"
"0,0407","0,1442"
"0,0672","0,4962"
"0,1722","0,4422"
"0,187","0,823"
"0,1428","0,752"
"0,1561","0,564"
"0,0224","0,658"
"0,271","0,2763"
"0,2241","0,7884"
"0,0698","0,1356"
"0,273","0,226"
"0,0476","0,0452"
"0,1296","0,0904"
"0,1962","0,1582"
"0,0717","0,1808"
"0,0468","0,0452"
"0,1989","0,1808"
"0,1746","0,0452"
"0,0461","0,0226"
"0,3752","0,218"
"0,4563","0,0442"
"0,412","0,4932"
"0,21","0,284"
"0,289","0,511"
"0,1575","0,4512"
"0,0239","0,0804"
"0,0848","0,5628"
"0,069","0,4824"
"0,2178","0,7236"
"0,044","0,3216"
"0,088","0,5628"
"0,0447","0,0654"
"0,417","0,3432"
"0,1745","0,0904"
"0,055","0,113"
"0,2763","0,1582"
"0,1632","0,113"
"0,0696","0,0452"
"0,1398","0,0678"
"0,0633","0,113"
"0,1995","0,1582"
"0,2475","0,1582"
"0,324","0,2034"
"0,5196","1,194"
"0,0614","1,1313"
"0,0818","1,0496"
"0,372","0,3639"
"0,0806","0,1126"
"0,4984","1,189"
"0,3474","0,5664"
"0,243","1,4364"
"0,0528","1,1326"
"0,1356","0,6564"
"0,2114","0,642"
"0,3234","0,5952"
"0,1089","1,0052"
"0,0317","1,3671"
"0,0694","0,1808"
"0,0283","0,226"
"0,1704","0,113"
"0,0963","0,226"
"0,153","0,0226"
"0,188","0,226"
"0,1325","0,1356"
"0,1757","0,1582"
"0,218","0,0678"
"0,2574","0,0226"
"0,5544","1,269"
"0,1818","0,6416"
"0,3456","0,1455"
"0,896","0,259"
"0,3966","0,8883"
"0,5436","0,4132"
"0,472","0,8792"
"0,2058","0,4452"
"0,0963","0,3138"
"0,1477","1,4598"
"0,1364","0,8035"
"0,0323","1,2856"
"0,0222","0,99"
"0,1125","0,1641"
"0,1028","0,0452"
"0,546","0,226"
"0,2936","0,1582"
"0,26","0,0452"
"0,186","0,0452"
"0,0744","0,0226"
"0,2106","0,1356"
"0,0227","0,0678"
"0,2916","0,0678"
"0,5004","0,113"
"0,2442","0,428"
"0,2244","1,048"
"0,214","0,5435"
"0,1836","0,3588"
"0,493","0,3808"
"0,2544","0,4674"
"0,2976","0,4805"
"0,0801","0,2304"
"0,0305","0,1195"
"0,0273","0,9784"
"0,0448","0,8708"
"0,0228","0,3792"
"0,124","0,1188"
"0,3038","0,9504"
"0,1729","0,113"
"0,211","0,113"
"0,114","0,1582"
"0,1295","0,2034"
"0,334","0,0678"
"0,1504","0,2034"
"0,0486","0,113"
"0,117","0,113"
"0,165","0,0678"
"0,0257","0,226"
"0,175","0,3352"
"0,259","0,7623"
"0,321","0,914"
"0,1134","0,7812"
"0,1662","0,3724"
"0,076","0,4466"
"0,4077","0,6224"
"0,0684","0,4095"
"0,1428","0,1852"
"0,212","0,3908"
"0,0298","0,2868"
"0,1716","0,956"
"0,0406","0,4195"
"0,0401","0,0839"
"0,2488","0,1808"
"0,0678","0,113"
"0,051","0,1582"
"0,2408","0,1582"
"0,1704","0,1582"
"0,058","0,1808"
"0,336","0,1808"
"0,248","0,2034"
"0,1312","0,1808"
"0,3312","0,226"
"0,2464","0,9282"
"0,334","0,3147"
"0,2127","0,7376"
"0,551","0,9477"
"0,0371","0,3531"
"0,0984","1,0755"
"0,1728","0,4884"
"0,2976","0,7788"
"0,1656","1,0736"
"0,1065","0,1415"
"0,0948","0,4245"
"0,0924","1,2735"
"0,403","0,6348"
"0,1968","1,029"
"0,2695","0,226"
"0,2016","0,1356"
"0,128","0,113"
"0,2264","0,226"
"0,363","0,0452"
"0,1976","0,113"
"0,0687","0,1582"
"0,1561","0,2034"
"0,2618","0,1356"
"0,44","0,0452"
"0,0475","0,6291"
"0,4068","0,0701"
"0,3024","0,2439"
"0,2247","0,2502"
"0,2016","0,3544"
"0,0708","0,5593"
"0,3048","0,779"
"0,2172","0,832"
"0,1698","0,6848"
"0,1578","0,909"
"0,1505","0,0884"
"0,2466","0,344"
"0,0784","0,0828"
"0,1265","0,2424"
"0,2457","0,0904"
"0,022","0,0904"
"0,2097","0,0226"
"0,2727","0,1582"
"0,1548","0,0226"
"0,2484","0,0452"
"0,1506","0,1808"
"0,0221","0,0678"
"0,1596","0,1582"
"0,23","0,0904"
"0,543","0,8406"
"0,0854","0,4775"
"0,18","0,7266"
"0,309","1,013"
"0,379","0,94"
"0,3752","0,855"
"0,1596","0,9333"
"0,252","0,7259"
"0,082","0,2772"
"0,3936","0,1888"
"0,0682","0,1021"
"0,1705","1,019"
"0,2912","0,7126"
"0,2513","0,535"
"0,2212","0,226"
"0,0747","0,1808"
"0,0224","0,1356"
"0,289","0,1356"
"0,0711","0,1582"
"0,159","0,1582"
"0,1428","0,0904"
"0,0699","0,113"
"0,1212","0,0678"
"0,0294","0,1808"
"0,2471","0,6139"
"0,4464","0,266"
"0,6147","0,5016"
"0,3396","0,1314"
"0,1608","0,459"
"0,2448","0,6712"
"0,1316","0,3552"
"0,049","0,9072"
"0,0454","0,3108"
"0,2754","0,2748"
"0,082","0,5052"
"0,1508","0,8415"
"0,0296","0,282"
"0,2264","0,5814"
"0,1428","0,0678"
"0,114","0,226"
"0,2424","0,2034"
"0,0343","0,113"
"0,1695","0,0452"
"0,1404","0,113"
"0,0238","0,226"
"0,1446","0,0226"
"0,0351","0,226"
"0,1872","0,113"
"0,264","0,686"
"0,255","0,9306"
"0,7128","0,1341"
"0,104","0,2772"
"0,663","0,8142"
"0,3132","0,768"
"0,214","1,341"
"0,0795","1,2327"
"0,1011","1,761"
"0,0442","1,0884"
"0,2394","0,338"
"0,2112","0,1669"
"0,1424","1,62"
"0,0484","0,6412"
"0,1392","0,0226"
"0,207","0,0904"
"0,2408","0,1582"
"0,361","0,2034"
"0,1944","0,1808"
"0,2925","0,0452"
"0,0436","0,0678"
"0,168","0,0678"
"0,378","0,1582"
"0,2352","0,1582"
"0,3228","0,6402"
"0,1488","0,8406"
"0,551","0,2008"
"0,0438","0,941"
"0,438","0,7984"
"0,484","0,504"
"0,0636","0,791"
"0,243","0,9848"
"0,0774","0,2456"
"0,291","0,6822"
"0,085","0,928"
"0,0319","1,115"
"0,2608","0,84"
"0,0594","0,8456"
"0,0542","0,2034"
"0,114","0,113"
"0,0681","0,113"
"0,1806","0,1808"
"0,0478","0,226"
"0,2358","0,2034"
"0,1446","0,0226"
"0,0612","0,226"
"0,126","0,0226"
"0,3528","0,0904"
"0,1152","0,2283"
"0,0906","0,5278"
"0,2192","0,528"
"0,0477","0,694"
"0,0361","0,6272"
"0,2723","0,6176"
"0,2492","0,3208"
"0,2583","0,5824"
"0,0228","0,4475"
"0,1708","0,7328"
"0,1205","0,1832"
"0,0864","0,0896"
"0,1698","0,6392"
"0,0956","0,2379"
"0,2688","0,1582"
"0,0908","0,2034"
"0,0241","0,1582"
"0,2124","0,0678"
"0,1917","0,226"
"0,0526","0,0226"
"0,0223","0,0452"
"0,1883","0,1356"
"0,1345","0,1808"
"0,0227","0,226"
"0,2865","0,1053"
"0,2405","0,2868"
"0,3882","0,4152"
"0,1312","0,9232"
"0,2079","1,1079"
"0,099","0,5845"
"0,2292","0,3597"
"0,1944","1,0476"
"0,079","0,3492"
"0,34","0,892"
"0,0904","0,7272"
"0,1776","0,564"
"0,1728","1,0665"
"0,3384","0,8505"
"0,3108","0,1582"
"0,0687","0,1356"
"0,2709","0,1808"
"0,2421","0,1582"
"0,292","0,1582"
"0,2114","0,113"
"0,3051","0,0452"
"0,0238","0,1582"
"0,2373","0,113"
"0,2304","0,1808"
"0,1796","0,539"
"0,2845","0,6024"
"0,1428","0,4576"
"0,1813","0,1157"
"0,4743","0,333"
"0,2835","0,436"
"0,1485","0,466"
"0,0322","0,711"
"0,2016","0,8435"
"0,1596","0,3687"
"0,0909","1,229"
"0,2345","0,442"
"0,1995","0,8232"
"0,251","0,2468"
"0,2005","0,0452"
"0,0233","0,1582"
"0,0556","0,0904"
"0,225","0,2034"
"0,2085","0,226"
"0,1532","0,2034"
"0,0426","0,2034"
"0,0939","0,1582"
"0,096","0,226"
"0,055","0,1808"
"0,2336","0,8416"
"0,1352","0,9045"
"0,0642","0,513"
"0,1036","0,993"
"0,1203","0,3576"
"0,1406","0,4746"
"0,3429","0,5376"
"0,1196","0,2136"
"0,1659","0,9792"
"0,218","0,6648"
"0,247","1,13"
"0,0444","0,678"
"0,092","0,791"
"0,1106","0,8217"
"0,0975","0,1356"
"0,0952","0,1808"
"0,4024","0,226"
"0,0472","0,113"
"0,1816","0,0678"
"0,229","0,0678"
"0,0834","0,2034"
"0,1425","0,1582"
"0,1494","0,2034"
"0,3424","0,1356"
"0,0957","0,812"
"0,4732","0,5425"
"0,3304","0,4325"
"0,662","0,4004"
"0,1512","0,5532"
"0,1504","0,1094"
"0,1746","0,8477"
"0,114","1,163"
"0,252","0,2334"
"0,322","0,2488"
"0,0981","1,225"
"0,0957","0,249"
"0,1506","0,1289"
"0,243","1,1988"
"0,184","0,0678"
"0,0217","0,2034"
"0,2817","0,226"
"0,139","0,1356"
"0,2232","0,1582"
"0,1458","0,2034"
"0,046","0,1808"
"0,1152","0,1808"
"0,087","0,0226"
"0,295","0,1808"
"0,0852","1,295"
"0,4752","0,1063"
"0,4626","0,7232"
"0,225","0,4664"
"0,495","0,1117"
